#	Zeit	Service	Flags	Prio	Quelladr	Quelle	Zieladr	Ziel	Rout	DPT	Typ	Daten	
1	21:02:11.532	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	T_Connect		
2	21:02:11.553	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	MaskVersionRead (S=0)		
3	21:02:11.569	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	ACK (S=0)		
4	21:02:11.592	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	MaskVersionResponse (S=0)	Maskenversion: 0012	
5	21:02:11.613	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	ACK (S=0)		
6	21:02:11.675	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	MemoryRead (S=1)	Anz. Bytes: 1 Adresse: 01 04	
7	21:02:11.691	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	ACK (S=1)		
8	21:02:11.716	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	MemoryResponse (S=1)	Anz. Bytes: 1 Adresse: 01 04 Daten:$04	
9	21:02:11.737	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	ACK (S=1)		
10	21:02:11.763	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	MemoryRead (S=2)	Anz. Bytes: 4 Adresse: 01 04	
11	21:02:11.779	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	ACK (S=2)		
12	21:02:11.808	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	MemoryResponse (S=2)	Anz. Bytes: 4 Adresse: 01 04 Daten:04 20 60 01	
13	21:02:11.829	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	ACK (S=2)		
14	21:02:11.958	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	T_Disconnect		
15	21:02:12.016	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	T_Connect		
16	21:02:12.036	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	MaskVersionRead (S=0)		
17	21:02:12.052	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	ACK (S=0)		
18	21:02:12.075	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	MaskVersionResponse (S=0)	Maskenversion: 0012	
19	21:02:12.097	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	ACK (S=0)		
20	21:02:12.144	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	MemoryWrite (S=1)	Anz. Bytes: 1 Adresse: 01 0D Daten:$00	
21	21:02:12.160	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	ACK (S=1)		
22	21:02:12.185	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	MemoryRead (S=2)	Anz. Bytes: 1 Adresse: 01 0D	
23	21:02:12.201	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	ACK (S=2)		
24	21:02:12.226	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	MemoryResponse (S=1)	Anz. Bytes: 1 Adresse: 01 0D Daten:$00	
25	21:02:12.247	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	ACK (S=1)		
26	21:02:12.278	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	MemoryWrite (S=3)	Anz. Bytes: 1 Adresse: 01 16 Daten:$01	
27	21:02:12.292	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	ACK (S=3)		
28	21:02:12.318	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	MemoryRead (S=4)	Anz. Bytes: 1 Adresse: 01 16	
29	21:02:12.334	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	ACK (S=4)		
30	21:02:12.358	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	MemoryResponse (S=2)	Anz. Bytes: 1 Adresse: 01 16 Daten:$01	
31	21:02:12.380	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	ACK (S=2)		
