#,Zeit,Dienst,Flags ,Prio,Quelladresse,Quelle,Zieladresse,Ziel,Rout,Typ,DPT,Info
24,2010-11-04 22:16:38.622,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,MemoryResponse (S=1),,"Count=1, Address=010D, Data=$00"
25,2010-11-04 22:16:38.644,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=1),,
26,2010-11-04 22:16:38.681,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryWrite (S=3),,"Count=1, Address=0116, Data=$01"
27,2010-11-04 22:16:38.696,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=3),,
28,2010-11-04 22:16:38.722,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryRead (S=4),,"Count=1, Address=0116"
29,2010-11-04 22:16:38.738,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=4),,
30,2010-11-04 22:16:38.764,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,MemoryResponse (S=2),,"Count=1, Address=0116, Data=$01"
31,2010-11-04 22:16:38.784,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=2),,
32,2010-11-04 22:16:38.811,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryRead (S=5),,"Count=1, Address=0100"
33,2010-11-04 22:16:38.827,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=5),,
34,2010-11-04 22:16:38.855,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,MemoryResponse (S=3),,"Count=1, Address=0100, Data=$FF"
35,2010-11-04 22:16:38.872,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=3),,
36,2010-11-04 22:16:38.906,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryRead (S=6),,"Count=9, Address=0104"
37,2010-11-04 22:16:38.924,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=6),,
38,2010-11-04 22:16:38.957,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,MemoryResponse (S=4),,"Count=9, Address=0104, Data=04 20 60 01 FF FF FF FF 00"
39,2010-11-04 22:16:38.979,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=4),,
40,2010-11-04 22:16:39.012,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryWrite (S=7),,"Count=4, Address=0108, Data=FE 11 40 00"
41,2010-11-04 22:16:39.026,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=7),,
42,2010-11-04 22:16:39.057,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryRead (S=8),,"Count=4, Address=0108"
43,2010-11-04 22:16:39.073,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=8),,
